week,Abidjan,Almaty,Barcelona,Belgrade,Bucharest,Casablanca,Krakow,Kyiv,Lagos,Lisbon,Madrid,Milan,Nairobi,Porto,Sofia,Tbilisi,Tunis,Warsaw,Yerevan,Zagreb
1,9756.0,18172.0,110333.0,17283.0,27707.0,22768.0,27852.0,46007.0,16157.0,37081.0,137503.0,106061.0,18438.0,22480.0,19016.0,13428.0,9189.0,54001.0,8247.0,15188.0
2,9686.0,17388.0,109884.0,16839.0,27610.0,22134.0,27792.0,46347.0,16229.0,38422.0,135534.0,110013.0,18581.0,22986.0,18072.0,13281.0,10508.0,54078.0,8756.0,13946.0
3,10269.0,16019.0,103547.0,17201.0,25266.0,21871.0,27172.0,40028.0,15993.0,34337.0,141931.0,101359.0,18750.0,20506.0,18065.0,12328.0,9759.0,51526.0,8331.0,12690.0
4,9862.0,18049.0,102675.0,16460.0,26445.0,23146.0,26398.0,47557.0,16360.0,37950.0,128541.0,104200.0,19405.0,21380.0,18016.0,13366.0,11099.0,52663.0,8467.0,14846.0
5,9789.0,17122.0,111317.0,17124.0,25274.0,22175.0,26158.0,45321.0,16660.0,35805.0,130351.0,98158.0,19769.0,19974.0,18057.0,12046.0,10162.0,53018.0,8360.0,13430.0
6,9598.0,17411.0,108276.0,16322.0,25579.0,21046.0,26312.0,44085.0,14965.0,35314.0,134360.0,99696.0,20195.0,22004.0,17928.0,12903.0,10254.0,50606.0,8110.0,13662.0
7,10501.0,17866.0,109051.0,16703.0,27772.0,24536.0,28156.0,47529.0,15965.0,37970.0,139430.0,105035.0,20896.0,20418.0,18702.0,13932.0,10496.0,55727.0,8609.0,15498.0
8,10393.0,17338.0,113986.0,16919.0,27551.0,23896.0,25571.0,44715.0,16743.0,35785.0,131779.0,111033.0,19740.0,21153.0,19621.0,13768.0,10560.0,53309.0,8182.0,14624.0
9,10628.0,17898.0,107860.0,17470.0,26953.0,24294.0,27753.0,46594.0,16721.0,35697.0,135281.0,103415.0,19719.0,20997.0,18910.0,12772.0,10747.0,53112.0,8846.0,15032.0
10,10440.0,17810.0,108818.0,16797.0,26259.0,22096.0,27215.0,46233.0,15849.0,36909.0,132964.0,100984.0,20260.0,21904.0,18585.0,13039.0,11045.0,55872.0,8565.0,14412.0
11,9524.0,18878.0,108491.0,17075.0,27174.0,22412.0,28404.0,42229.0,16366.0,37110.0,131007.0,103845.0,20710.0,21682.0,17731.0,12768.0,10823.0,52699.0,8685.0,14071.0
12,10110.0,17964.0,115646.0,17991.0,27922.0,22793.0,27045.0,44885.0,17338.0,37430.0,127707.0,101513.0,21278.0,22411.0,18622.0,13323.0,10984.0,56758.0,9095.0,15403.0
13,10904.0,18150.0,113342.0,17401.0,26777.0,25735.0,28846.0,43964.0,19851.0,37861.0,136603.0,108466.0,21284.0,20948.0,18571.0,12937.0,12085.0,53433.0,8806.0,14549.0
14,11629.0,19050.0,114635.0,18798.0,27865.0,24676.0,28672.0,49795.0,17829.0,39865.0,140097.0,109909.0,21887.0,22662.0,18867.0,14353.0,10958.0,54007.0,8980.0,15493.0
15,11224.0,18580.0,114826.0,17707.0,27682.0,22835.0,28770.0,48478.0,18320.0,37823.0,135293.0,108044.0,20833.0,22460.0,19241.0,13562.0,11579.0,54817.0,9329.0,14786.0
16,11096.0,19666.0,108933.0,17977.0,28435.0,23618.0,29464.0,47108.0,17896.0,39693.0,140728.0,110659.0,21836.0,23745.0,19680.0,13630.0,12001.0,56586.0,9333.0,15097.0
17,10291.0,17693.0,106952.0,17451.0,27956.0,22841.0,27352.0,44568.0,15993.0,37241.0,130990.0,103823.0,19516.0,21947.0,18998.0,13294.0,10540.0,54448.0,8866.0,14850.0
18,10447.0,18242.0,111301.0,18621.0,26423.0,22112.0,26520.0,46965.0,15540.0,38470.0,134775.0,106919.0,20533.0,21631.0,19523.0,13033.0,10707.0,52873.0,9332.0,14804.0
19,9918.0,19054.0,111130.0,16839.0,28008.0,21386.0,29199.0,47859.0,17705.0,36818.0,128351.0,98091.0,20136.0,21237.0,19773.0,14141.0,10708.0,55242.0,8635.0,14317.0
20,10414.0,17177.0,105486.0,17007.0,25865.0,21494.0,26184.0,43485.0,17311.0,34273.0,125238.0,96750.0,18306.0,19663.0,18015.0,12599.0,10144.0,52447.0,8191.0,15153.0
21,10243.0,17943.0,113338.0,17574.0,26694.0,23200.0,29190.0,46244.0,17494.0,36386.0,136212.0,99872.0,20668.0,20443.0,18611.0,12586.0,10708.0,54037.0,8548.0,15246.0
22,10760.0,18658.0,107388.0,17626.0,27174.0,24142.0,29098.0,50444.0,17417.0,40929.0,137087.0,102977.0,22532.0,22067.0,19555.0,13094.0,11542.0,51406.0,9250.0,14404.0
23,10624.0,18448.0,111840.0,17332.0,29579.0,23445.0,28044.0,47051.0,18179.0,40292.0,136717.0,105485.0,20768.0,23595.0,19806.0,14702.0,12125.0,53871.0,9726.0,14640.0
24,9702.0,18257.0,115256.0,17902.0,27883.0,22574.0,27314.0,47125.0,17473.0,39412.0,137830.0,106306.0,21529.0,21700.0,17468.0,13897.0,11489.0,55259.0,9619.0,14993.0
25,10691.0,17549.0,109355.0,18199.0,27421.0,24751.0,28319.0,48151.0,18300.0,36354.0,134973.0,103621.0,21381.0,22200.0,19574.0,14024.0,11927.0,54908.0,9921.0,15521.0
26,11705.0,19113.0,114306.0,17720.0,27657.0,24473.0,28610.0,45487.0,18166.0,37006.0,134648.0,104110.0,22150.0,23255.0,19948.0,13463.0,11269.0,55133.0,9746.0,15174.0
27,10707.0,18835.0,109118.0,18321.0,27554.0,23486.0,28416.0,46422.0,16788.0,35284.0,135775.0,99195.0,21482.0,22190.0,20465.0,13430.0,11401.0,55603.0,9594.0,14724.0
28,10456.0,17616.0,109368.0,17510.0,26594.0,22124.0,29165.0,46690.0,17039.0,35558.0,127729.0,95051.0,19721.0,20303.0,19057.0,14225.0,10905.0,55381.0,8636.0,14475.0
29,10557.0,18908.0,103975.0,17155.0,27467.0,22745.0,28372.0,45306.0,15937.0,35529.0,128964.0,97441.0,20878.0,20889.0,19035.0,14341.0,11583.0,52434.0,8989.0,14193.0
30,11122.0,18755.0,101897.0,16513.0,28231.0,22121.0,27380.0,45890.0,18061.0,32819.0,129694.0,92099.0,20124.0,20160.0,18426.0,12575.0,11098.0,54790.0,8461.0,14731.0
31,10514.0,18216.0,101312.0,16297.0,26931.0,23629.0,26149.0,48590.0,16898.0,31314.0,122945.0,90027.0,20520.0,18861.0,18728.0,12877.0,10848.0,53736.0,9067.0,14202.0
