week,date,city,country,tier,market_type,is_treated,post_treatment,treated_post,orders,active_users,new_users,aov_eur,reorder_rate,conversion_rate,avg_basket_items,delivery_fee_eur,weekly_revenue_eur,macro_shock
1,2022-01-03,Madrid,Spain,1,competitive,0,0,0,137503,84320,11892,22.2,0.592,0.0395,2.92,1.25,3084187.0,1.0055
2,2022-01-10,Madrid,Spain,1,competitive,0,0,0,135534,86838,11854,22.6,0.599,0.0501,3.15,1.16,3093288.0,1.002
3,2022-01-17,Madrid,Spain,1,competitive,0,0,0,141931,82159,14872,23.11,0.603,0.0295,2.84,1.21,3309849.0,1.0084
4,2022-01-24,Madrid,Spain,1,competitive,0,0,0,128541,85758,10572,22.34,0.605,0.035,2.92,1.04,2898362.0,1.0222
5,2022-01-31,Madrid,Spain,1,competitive,0,0,0,130351,82538,10351,22.49,0.606,0.0375,2.56,1.29,2963536.0,1.0119
6,2022-02-07,Madrid,Spain,1,competitive,0,0,0,134360,82415,11279,22.67,0.59,0.0304,2.83,1.26,3077094.0,1.0051
7,2022-02-14,Madrid,Spain,1,competitive,0,0,0,139430,87172,12746,22.33,0.596,0.0292,2.58,1.22,3145377.0,1.0207
8,2022-02-21,Madrid,Spain,1,competitive,0,0,0,131779,84785,11444,22.64,0.579,0.0404,2.9,1.23,3014762.0,1.0219
9,2022-02-28,Madrid,Spain,1,competitive,0,0,0,135281,88003,13654,22.34,0.601,0.0196,3.1,1.19,3053595.0,1.0091
10,2022-03-07,Madrid,Spain,1,competitive,0,0,0,132964,86767,13896,23.26,0.631,0.0215,2.86,1.22,3124499.0,1.0119
11,2022-03-14,Madrid,Spain,1,competitive,0,0,0,131007,86706,10946,22.92,0.564,0.0252,2.79,1.25,3035195.0,1.0026
12,2022-03-21,Madrid,Spain,1,competitive,0,0,0,127707,83531,11733,22.0,0.63,0.0344,2.78,1.14,2838122.0,0.9966
13,2022-03-28,Madrid,Spain,1,competitive,0,0,0,136603,86849,12796,22.5,0.606,0.0386,2.6,1.08,3101707.0,1.0004
14,2022-04-04,Madrid,Spain,1,competitive,0,0,0,140097,88145,13227,23.24,0.608,0.0413,2.78,1.15,3286264.0,0.9792
